DESTINED ONE SKELETON BONE HIERARCHY (Total: 227)
==================================================
[000] root                           -> Parent: [-01] ROOT
[001] pelvis                         -> Parent: [000] root
[002] Bip                            -> Parent: [001] pelvis
[003] thigh_l                        -> Parent: [002] Bip
[004] calf_l                         -> Parent: [003] thigh_l
[005] calf_twist_01_l                -> Parent: [004] calf_l
[006] calf_twist_02_l                -> Parent: [005] calf_twist_01_l
[007] foot_l                         -> Parent: [004] calf_l
[008] ball_l_01                      -> Parent: [007] foot_l
[009] ball_l_02                      -> Parent: [008] ball_l_01
[010] ball_l_03                      -> Parent: [007] foot_l
[011] ball_l_04                      -> Parent: [010] ball_l_03
[012] ball_l_05                      -> Parent: [007] foot_l
[013] ball_l_06                      -> Parent: [012] ball_l_05
[014] ball_l_07                      -> Parent: [007] foot_l
[015] ball_l_08                      -> Parent: [014] ball_l_07
[016] ball_l_09                      -> Parent: [007] foot_l
[017] ball_l_010                     -> Parent: [016] ball_l_09
[018] thigh_r                        -> Parent: [002] Bip
[019] calf_r                         -> Parent: [018] thigh_r
[020] calf_twist_01_r                -> Parent: [019] calf_r
[021] calf_twist_02_r                -> Parent: [020] calf_twist_01_r
[022] foot_r                         -> Parent: [019] calf_r
[023] ball_r_01                      -> Parent: [022] foot_r
[024] ball_r_02                      -> Parent: [023] ball_r_01
[025] ball_r_03                      -> Parent: [022] foot_r
[026] ball_r_04                      -> Parent: [025] ball_r_03
[027] ball_r_05                      -> Parent: [022] foot_r
[028] ball_r_06                      -> Parent: [027] ball_r_05
[029] ball_r_07                      -> Parent: [022] foot_r
[030] ball_r_08                      -> Parent: [029] ball_r_07
[031] ball_r_09                      -> Parent: [022] foot_r
[032] ball_r_010                     -> Parent: [031] ball_r_09
[033] qunjia09                       -> Parent: [002] Bip
[034] qunjia10                       -> Parent: [033] qunjia09
[035] qunjia11                       -> Parent: [034] qunjia10
[036] qunjia06                       -> Parent: [002] Bip
[037] qunjia07                       -> Parent: [036] qunjia06
[038] qunjia08                       -> Parent: [037] qunjia07
[039] qunjia01                       -> Parent: [002] Bip
[040] qunjia02                       -> Parent: [039] qunjia01
[041] qunjia03                       -> Parent: [040] qunjia02
[042] qunjia04                       -> Parent: [041] qunjia03
[043] qunjia05                       -> Parent: [042] qunjia04
[044] spine_01                       -> Parent: [002] Bip
[045] qunjia12                       -> Parent: [044] spine_01
[046] qunjia13                       -> Parent: [045] qunjia12
[047] spine_02                       -> Parent: [044] spine_01
[048] spine_03                       -> Parent: [047] spine_02
[049] clavicle_l                     -> Parent: [048] spine_03
[050] upperarm_l                     -> Parent: [049] clavicle_l
[051] lowerarm_l                     -> Parent: [050] upperarm_l
[052] lowerarm_twist_01_l            -> Parent: [051] lowerarm_l
[053] lowerarm_twist_02_l            -> Parent: [052] lowerarm_twist_01_l
[054] hand_l                         -> Parent: [051] lowerarm_l
[055] thumb_01_l                     -> Parent: [054] hand_l
[056] thumb_02_l                     -> Parent: [055] thumb_01_l
[057] thumb_03_l                     -> Parent: [056] thumb_02_l
[058] index_01_l                     -> Parent: [054] hand_l
[059] index_02_l                     -> Parent: [058] index_01_l
[060] index_03_l                     -> Parent: [059] index_02_l
[061] middle_01_l                    -> Parent: [054] hand_l
[062] middle_02_l                    -> Parent: [061] middle_01_l
[063] middle_03_l                    -> Parent: [062] middle_02_l
[064] ring_01_l                      -> Parent: [054] hand_l
[065] ring_02_l                      -> Parent: [064] ring_01_l
[066] ring_03_l                      -> Parent: [065] ring_02_l
[067] pinky_01_l                     -> Parent: [054] hand_l
[068] pinky_02_l                     -> Parent: [067] pinky_01_l
[069] pinky_03_l                     -> Parent: [068] pinky_02_l
[070] upperarm_twist_01_l            -> Parent: [050] upperarm_l
[071] jianjia                        -> Parent: [049] clavicle_l
[072] clavicle_r                     -> Parent: [048] spine_03
[073] upperarm_r                     -> Parent: [072] clavicle_r
[074] lowerarm_r                     -> Parent: [073] upperarm_r
[075] lowerarm_twist_01_r            -> Parent: [074] lowerarm_r
[076] lowerarm_twist_02_r            -> Parent: [075] lowerarm_twist_01_r
[077] hand_r                         -> Parent: [074] lowerarm_r
[078] thumb_01_r                     -> Parent: [077] hand_r
[079] thumb_02_r                     -> Parent: [078] thumb_01_r
[080] thumb_03_r                     -> Parent: [079] thumb_02_r
[081] index_01_r                     -> Parent: [077] hand_r
[082] index_02_r                     -> Parent: [081] index_01_r
[083] index_03_r                     -> Parent: [082] index_02_r
[084] middle_01_r                    -> Parent: [077] hand_r
[085] middle_02_r                    -> Parent: [084] middle_01_r
[086] middle_03_r                    -> Parent: [085] middle_02_r
[087] ring_01_r                      -> Parent: [077] hand_r
[088] ring_02_r                      -> Parent: [087] ring_01_r
[089] ring_03_r                      -> Parent: [088] ring_02_r
[090] pinky_01_r                     -> Parent: [077] hand_r
[091] pinky_02_r                     -> Parent: [090] pinky_01_r
[092] pinky_03_r                     -> Parent: [091] pinky_02_r
[093] upperarm_twist_01_r            -> Parent: [073] upperarm_r
[094] neck_01                        -> Parent: [048] spine_03
[095] head                           -> Parent: [094] neck_01
[096] jaw_main_1                     -> Parent: [095] head
[097] head1                          -> Parent: [095] head
[098] joint_head_all                 -> Parent: [097] head1
[099] browRt03Joint                  -> Parent: [098] joint_head_all
[100] browRt02Joint                  -> Parent: [098] joint_head_all
[101] browRt01Joint                  -> Parent: [098] joint_head_all
[102] jawJoint                       -> Parent: [098] joint_head_all
[103] lip26Joint                     -> Parent: [098] joint_head_all
[104] lip25Joint                     -> Parent: [098] joint_head_all
[105] lip24Joint                     -> Parent: [098] joint_head_all
[106] lip23Joint                     -> Parent: [098] joint_head_all
[107] lip22Joint                     -> Parent: [098] joint_head_all
[108] lip21Joint                     -> Parent: [098] joint_head_all
[109] eyeDnRt03Joint                 -> Parent: [098] joint_head_all
[110] lip20Joint                     -> Parent: [098] joint_head_all
[111] lip19Joint                     -> Parent: [098] joint_head_all
[112] lip18Joint                     -> Parent: [098] joint_head_all
[113] lip17Joint                     -> Parent: [098] joint_head_all
[114] lip16Joint                     -> Parent: [098] joint_head_all
[115] lip15Joint                     -> Parent: [098] joint_head_all
[116] lip14Joint                     -> Parent: [098] joint_head_all
[117] lip13Joint                     -> Parent: [098] joint_head_all
[118] lip12Joint                     -> Parent: [098] joint_head_all
[119] lip11Joint                     -> Parent: [098] joint_head_all
[120] eyeDnRt02Joint                 -> Parent: [098] joint_head_all
[121] lip10Joint                     -> Parent: [098] joint_head_all
[122] lip09Joint                     -> Parent: [098] joint_head_all
[123] lip08Joint                     -> Parent: [098] joint_head_all
[124] lip07Joint                     -> Parent: [098] joint_head_all
[125] lip06Joint                     -> Parent: [098] joint_head_all
[126] lip05Joint                     -> Parent: [098] joint_head_all
[127] lip04Joint                     -> Parent: [098] joint_head_all
[128] lip03Joint                     -> Parent: [098] joint_head_all
[129] lip02Joint                     -> Parent: [098] joint_head_all
[130] lip01Joint                     -> Parent: [098] joint_head_all
[131] eyeDnRt01Joint                 -> Parent: [098] joint_head_all
[132] EarLf01Joint                   -> Parent: [098] joint_head_all
[133] EarRt01Joint                   -> Parent: [098] joint_head_all
[134] faceMdToothUpJoint             -> Parent: [098] joint_head_all
[135] faceMdToothDnJoint             -> Parent: [098] joint_head_all
[136] Tongue01Joint                  -> Parent: [098] joint_head_all
[137] Tongue02Joint                  -> Parent: [136] Tongue01Joint
[138] Tongue03Joint                  -> Parent: [137] Tongue02Joint
[139] Tongue04Joint                  -> Parent: [138] Tongue03Joint
[140] Tongue05Joint                  -> Parent: [139] Tongue04Joint
[141] eyeDnLf03Joint                 -> Parent: [098] joint_head_all
[142] eyeDnLf02Joint                 -> Parent: [098] joint_head_all
[143] eyeDnLf01Joint                 -> Parent: [098] joint_head_all
[144] faceRtCheek20Joint             -> Parent: [098] joint_head_all
[145] faceRtCheek19Joint             -> Parent: [098] joint_head_all
[146] faceRtCheek17Joint             -> Parent: [098] joint_head_all
[147] faceRtCheek13Joint             -> Parent: [098] joint_head_all
[148] faceRtCheek12Joint             -> Parent: [098] joint_head_all
[149] faceRtCheek11Joint             -> Parent: [098] joint_head_all
[150] faceRtCheek10Joint             -> Parent: [098] joint_head_all
[151] faceRtCheek09Joint             -> Parent: [098] joint_head_all
[152] faceRtCheek08Joint             -> Parent: [098] joint_head_all
[153] faceRtCheek07Joint             -> Parent: [098] joint_head_all
[154] faceRtCheek06Joint             -> Parent: [098] joint_head_all
[155] faceRtCheek05Joint             -> Parent: [098] joint_head_all
[156] faceRtCheek04Joint             -> Parent: [098] joint_head_all
[157] faceRtCheek03Joint             -> Parent: [098] joint_head_all
[158] faceRtCheek02Joint             -> Parent: [098] joint_head_all
[159] faceRtCheek01Joint             -> Parent: [098] joint_head_all
[160] faceLfCheek20Joint             -> Parent: [098] joint_head_all
[161] faceLfCheek19Joint             -> Parent: [098] joint_head_all
[162] faceLfCheek13Joint             -> Parent: [098] joint_head_all
[163] faceLfCheek12Joint             -> Parent: [098] joint_head_all
[164] faceLfCheek11Joint             -> Parent: [098] joint_head_all
[165] faceLfCheek10Joint             -> Parent: [098] joint_head_all
[166] faceLfCheek09Joint             -> Parent: [098] joint_head_all
[167] faceLfCheek08Joint             -> Parent: [098] joint_head_all
[168] faceLfCheek07Joint             -> Parent: [098] joint_head_all
[169] faceLfCheek06Joint             -> Parent: [098] joint_head_all
[170] faceLfCheek05Joint             -> Parent: [098] joint_head_all
[171] faceLfCheek04Joint             -> Parent: [098] joint_head_all
[172] faceLfCheek03Joint             -> Parent: [098] joint_head_all
[173] faceLfCheek02Joint             -> Parent: [098] joint_head_all
[174] faceLfCheek01Joint             -> Parent: [098] joint_head_all
[175] browminRtJoint                 -> Parent: [098] joint_head_all
[176] browminMdJoint                 -> Parent: [098] joint_head_all
[177] browminLfJoint                 -> Parent: [098] joint_head_all
[178] browUpRtbrowJoint              -> Parent: [098] joint_head_all
[179] browUpMdbrow02Joint            -> Parent: [098] joint_head_all
[180] browUpLfbrowJoint              -> Parent: [098] joint_head_all
[181] browRelieveMdJoint             -> Parent: [098] joint_head_all
[182] browMdwrinkleJoint             -> Parent: [098] joint_head_all
[183] noseUpJoint                    -> Parent: [098] joint_head_all
[184] noseDnJoint                    -> Parent: [098] joint_head_all
[185] NostrilUpperMdJoint            -> Parent: [098] joint_head_all
[186] NostrilUpper03RtJoint          -> Parent: [098] joint_head_all
[187] NostrilUpper03LfJoint          -> Parent: [098] joint_head_all
[188] NostrilUpper02RtJoint          -> Parent: [098] joint_head_all
[189] NostrilUpper02LfJoint          -> Parent: [098] joint_head_all
[190] NostrilUpper01RtJoint          -> Parent: [098] joint_head_all
[191] NostrilUpper01MdJoint          -> Parent: [098] joint_head_all
[192] NostrilUpper01LfJoint          -> Parent: [098] joint_head_all
[193] Nostril04RtJoint               -> Parent: [098] joint_head_all
[194] Nostril04LfJoint               -> Parent: [098] joint_head_all
[195] Nostril03RtJoint               -> Parent: [098] joint_head_all
[196] Nostril03LfJoint               -> Parent: [098] joint_head_all
[197] Nostril02RtJoint               -> Parent: [098] joint_head_all
[198] Nostril02LfJoint               -> Parent: [098] joint_head_all
[199] Nostril01RtJoint               -> Parent: [098] joint_head_all
[200] Nostril01LfJoint               -> Parent: [098] joint_head_all
[201] NoseWingRtJoint                -> Parent: [098] joint_head_all
[202] NoseWingLfJoint                -> Parent: [098] joint_head_all
[203] eyeLfUpJoint                   -> Parent: [098] joint_head_all
[204] eyeLf08Joint                   -> Parent: [098] joint_head_all
[205] eyeLf07Joint                   -> Parent: [098] joint_head_all
[206] eyeLf06Joint                   -> Parent: [098] joint_head_all
[207] eyeLf05Joint                   -> Parent: [098] joint_head_all
[208] eyeLf04Joint                   -> Parent: [098] joint_head_all
[209] eyeLf03Joint                   -> Parent: [098] joint_head_all
[210] eyeLf02Joint                   -> Parent: [098] joint_head_all
[211] eyeLf01Joint                   -> Parent: [098] joint_head_all
[212] eyeLfJoint                     -> Parent: [098] joint_head_all
[213] eyeRtUpJoint                   -> Parent: [098] joint_head_all
[214] eyeRt08Joint                   -> Parent: [098] joint_head_all
[215] eyeRt07Joint                   -> Parent: [098] joint_head_all
[216] eyeRt06Joint                   -> Parent: [098] joint_head_all
[217] eyeRt05Joint                   -> Parent: [098] joint_head_all
[218] eyeRt04Joint                   -> Parent: [098] joint_head_all
[219] eyeRt03Joint                   -> Parent: [098] joint_head_all
[220] eyeRt02Joint                   -> Parent: [098] joint_head_all
[221] eyeRt01Joint                   -> Parent: [098] joint_head_all
[222] eyeRtJoint                     -> Parent: [098] joint_head_all
[223] browMd01Joint                  -> Parent: [098] joint_head_all
[224] browLf03Joint                  -> Parent: [098] joint_head_all
[225] browLf02Joint                  -> Parent: [098] joint_head_all
[226] browLf01Joint                  -> Parent: [098] joint_head_all
